Laglista,Section Number,Section Name,Index,SFS Number,Amendment SFS,Document Name,Notisum Comment,Summary (Så här påverkas vi),Compliance,Link
"Arbetsmiljö","01","ALLMÄNNA REGLER","0100","SFS 1977:1160","SFS 2025:732","Arbetsmiljölag (1977:1160)","Arbetsmiljölagen (AML) är en ramlag som innehåller övergripande regler för hur arbetsmiljöarbetet ska bedrivas och hur ansvar ska fördelas. Syftet med AML är att förebygga ohälsa och olyckor samt att skapa en trygg och trivsam arbetsmiljö.Lagen tydliggör arbetsgivarens ansvar, till exempel skyldigheten att anmäla arbetsskador, dödsfall och allvarliga tillbud till Arbetsmiljöverket, förebygga risker, informera arbetstagare om faror i arbetet och bedriva ett systematiskt arbetsmiljöarbete. Även arbetstagare har ansvar, bland annat att följa säkerhetsföreskrifter, agera försiktigt och rapportera omedelbara faror till arbetsgivaren eller skyddsombud.Ett särskilt kapitel reglerar arbete för minderåriga, alltså personer under 18 år.  Minderåriga får aldrig utföra arbete som kan skada deras hälsa eller utveckling och generellt får den som är under 16 år inte arbeta, med vissa undantag från 13 års ålder för lättare och ofarligt arbete. Lagen betonar vikten av samverkan mellan arbetsgivare och arbetstagare. På arbetsplatser med minst fem anställda ska skyddsombud (arbetsmiljöombud) utses, och på större arbetsplatser (minst 50 anställda) ska skyddskommittéer finnas. Skyddsombud har rätt att begära ingripanden från Arbetsmiljöverket, exempelvis vid allvarliga risker i arbetsmiljön.Lagen ger också regeringen och myndigheter rätt att utfärda mer detaljerade regler för arbetsmiljön. Slutligen innehåller lagen även bestämmelser om tillsyn, påföljder och hur beslut kan överklagas. Mer detaljerade regler återfinns i Arbetsmiljöförordningen och i Arbetsmiljöverkets föreskrifter (AFS).","Arbetsmiljölag (AML)Denna lag gäller i de av våra verksamheter där arbetstagare utför arbete för en arbetsgivares räkning.Lagen innehåller mycket få precisa regler och anger bara i stora drag vilka krav som ställs på arbetsmiljön och vilket ansvar som olika aktörer, främst arbetsgivaren, har.Arbetsmiljölagen kompletteras av arbetsmiljöförordningen och andra författningar.Lagen anger bl.a. följande:Vi ska ha en tillfredsställande arbetsmiljö som är anpassad till människors olika förutsättningar och där arbetstagaren är delaktig i utformningen kring sin egen arbetssituationVi ska förebygga risker, bedriva ett systematiskt arbetsmiljöarbete och vi ska anmäla dödsfall, allvarlig skada eller tillbud till myndighetVi ska utse byggarbetsmiljösamordnare och vid behov uppfylla krav på samordningVi ska se till att maskiner och utrustning är säkra när de tas i brukVi ska aldrig låta minderåriga utföra arbete som kan skada deras hälsa eller utvecklingSkyddsombud ska utses på arbetsplatser med fler än 5 arbetstagare samt ska det finnas en skyddskommitté vid minst 50 anställda","","https://www.notisum.se/rn/document/?id=19771160"
"Arbetsmiljö","01","ALLMÄNNA REGLER","0110","SFS 1977:1166","SFS 2018:938","Arbetsmiljöförordning (1977:1166)","Arbetsmiljöförordningen - och Arbetsmiljöverkets föreskrifter (AFS) - kompletterar Arbetsmiljölagen och ger de mer detaljerade bestämmelserna. I förordningen finns bl.a. vissa regler om skyddsombud (arbetsmiljöombud) och skyldighet att bevara information och handlingar. Skyldigheten att anmäla arbetsskada m.m. finns numera reglerad i 3 kap. 3 a § arbetsmiljölagen (1977:1160) och i 2 § arbetsmiljöförordning (1977:1166). Arbetsmiljölagen, arbetsmiljöförordningen och AFS som rör den egna verksamheten ska finnas tillgängliga för de anställda. Information om vem som är skyddsombud (arbetsmiljöombud) och ledamöter av skyddskommitté ska anslås på arbetsstället. Skyddsrond bör genomföras regelbundet. Handlingar som intyg, journaler över kontroller, arbetsmiljöfrågor, provning och undersökningar samt inspektionsmeddelande och förelägganden ska enligt arbetsmiljöförordningen 3 § sparas i minst fem år.","ArbetsmiljöförordningVi ska ska utan dröjsmål underrätta Arbetsmiljöverket om dödsfall eller svårare personskada som har inträffat i samband med arbetets utförande.Vi ska förvara handlingar från Arbetsmiljöverket under de arkivtider som anges i 3 §.Vi ska sätta upp anslag om vem som är samordningsansvarig för skyddsåtgärder för gemensamt arbetsställe.Vi ska se till att arbetsmiljöförfattningar finns tillgängliga för arbetstagare.Vi ska utse skyddsombud samt ha en skyddskommitté.Vi ska ha anslag uppsatt om vem som är skyddsombud och vilka ledamöter som sitter med i skyddskommittén.","","https://www.notisum.se/rn/document/?id=19771166"
"Arbetsmiljö","01","ALLMÄNNA REGLER","0120","AFS 2023:1 (ersätter AFS 2001:1)","","BeteckningAFS 2023:1 (ersätter AFS 2001:1)Arbetsmiljöverkets föreskrifter och allmänna råd (AFS 2023","Föreskrifterna om systematiskt arbetsmiljöarbete ställer krav på alla arbetsgivare (även de som hyr in arbetskraft) att organisera, genomföra och följa upp sitt arbetsmiljöarbete för att förebygga risker för ohälsa och olycksfall i arbetet samt uppnå en tillfredsställande arbetsmiljö. Det systematiska arbetet ska vara en del av den dagliga verksamheten där arbetstagare samt skyddsombud ska ges möjlighet att medverka. Alla arbetsgivare ska se till att det finns en arbetsmiljöpolicy som beskriver hur arbetsmiljöförhållandena ska vara i verksamheten och det ska även finnas rutiner som beskriver hur det systematiska arbetsmiljöarbetet ska gå till. Arbetsmiljöförhållandena ska undersökas och riskbedömas och om någon arbetstagare råkar ut för ohälsa, olycksfall eller allvarliga tillbud ska utredning genomföras och åtgärder vidtas. Uppgifterna i det systematiska arbetsmiljöarbetet ska fördelas till chefer, arbetsledare eller andra arbetstagare i verksamheten. Det systematiska arbetet ska följas upp årligen.Ikraftträdande 1 januari 2025","Systematiskt arbetsmiljöarbete (SAM)Vi ska planera, undersöka, genomföra och följa upp verksamheten på ett sådant sätt att ohälsa och olycksfall i arbetet förebyggs och en tillfredsställande arbetsmiljö uppnås.Arbetsmiljön ska hanteras som en naturlig del i den dagliga verksamheten och omfatta även psykologiska och sociala förhållanden i arbetsmiljön.Vi ska ge arbetstagarna och skyddsombuden möjlighet att medverka i det systematiska arbetsmiljöarbetet (SAM).Vi ska ha en arbetsmiljöpolicy samt rutiner som beskriver hur SAM skall gå till. Dessa ska dokumenteras.Vi ska årligen göra en uppföljning av SAM.Om kompetensen inom den egna verksamheten inte räcker för SAM eller för arbetet med arbetsanpassning och rehabilitering, skall arbetsgivaren anlita företagshälsovård eller motsvarande sakkunnig hjälp utifrån.","","https://www.notisum.se/rn/document/?id=AFSC3001"
"Arbetsmiljö","01","ALLMÄNNA REGLER","0130","AFS 2023:2 (ersätter AFS 2015:4)","","BeteckningAFS 2023:2 (ersätter AFS 2015:4)Arbetsmiljöverkets föreskrifter och allmänna råd (AFS 2023","2 kap. Organisatorisk och social arbetsmiljöArbetsgivaren ska se till att chefer och arbetsledare har kunskaper om hur man förebygger och hanterar ohälsosam arbetsbelastning och kränkande särbehandling samt se till att det finns förutsättningar att omsätta dessa kunskaper i praktiken. Arbetsgivaren ska även se till att de arbetsuppgifter och befogenheter som tilldelas arbetstagarna inte ger upphov till ohälsosam arbetsbelastning och ska även motverka att arbetstidens förläggning leder till ohälsa hos arbetstagarna. Att kränkande särbehandling inte accepteras ska klargöras i verksamheten och åtgärder för att se till att så inte sker ska vidtas. Utöver detta ska arbetsgivaren ha mål för den organisatoriska och sociala arbetsmiljön, vilka ska syfta till att främja hälsa och öka organisationens förmåga att motverka ohälsa. Arbetstagarna ska ges möjlighet att medverka i arbetet med att ta fram målen och arbetsgivaren ska se till att arbetstagarna känner till dem. Målen ska vara skriftliga om det finns tio eller fler arbetstagare i verksamheten.Ikraftträdande 1 januari 2025","Organisatorisk och social arbetsmiljö (OSA)I föreskrifterna regleras kunskapskrav, mål, arbetsbelastning, arbetstid och kränkande särbehandling och handlar om frågor som stress, konflikter, trygghet, mobbning, balans mellan jobb och fritid samt stöd från chef och kollegor.Vi ska bland annat undersöka och bedöma risker i den organisatoriska och sociala arbetsmiljön och chefer och arbetsledare ska ha kunskaper för att förebygga och hantera ohälsosam belastning samt kränkande särbehandling. Vi skall tydligt ange hur vi ser på kränkande särbehandling och ha dokumenterade rutiner för hur vi skall agera om detta uppstår.","","https://www.notisum.se/rn/document/?id=AFSC3002&anchor=K2"
"Arbetsmiljö","01","ALLMÄNNA REGLER","0140","AFS 2023:15 (ersätter AFS 2019:3)","","BeteckningAFS 2023:15 (ersätter AFS 2019:3)AFS 2025:4Arbetsmiljöverkets föreskrifter och allmänna rå","HuvudkommentarSyftet med dessa föreskrifter är att minska risken för ohälsa relaterad till arbetet genom medicinska kontroller samt även hälsoundersökningar av flygpersonal inom civilflyget.  Här finns generella bestämmelser om medicinska kontroller i arbetslivet, andra undersökningar av arbetstagares hälsa samt bestämmelser som riktar sig till läkare. Till föreskrifterna finns 12 bilagor.Ikraftträdande 1 januari 2025Notisum har kommentarer för samtliga kapitel i AFS 2023:15 om medicinska kontroller i arbetslivet","Medicinska kontroller i arbetslivetDessa föreskrifter berör verksamheter där arbetstagare utför arbete som kan medföra ohälsa relaterad till arbetet. Exempel är vibrationer, handintensivt arbete, nattarbete, allergiframkallande kemiska ämnen, fibrosframkallande damm, metaller samt stor fysisk ansträngning. I föreskrifterna finns även bestämmelser gällande hälsoundersökning av flygpersonal inom civilflyget samt bestämmelser som riktar sig till läkare.I första hand ska vi ta bort risker för ohälsa i arbetsmiljön. Är det inte möjligt att ta bort risken helt, ska vi se till att risken så långt som möjligt minimeras. Om risken för ohälsa eller skada ändå kvarstår, kan vi behöva undersöka arbetstagarens hälsa.Medicinska kontroller och ibland även biologoiska exponeringskontroller eller bedömning för tjänstbarhetsintyg, ska anordnas vid de olika typer av arbeten som anges i föreskrifterna. Det ska vara gratis för arbetstagare. Hälsoundersökning är frivilligt för arbetstagare men en arbetstagare som inte har tjänstbarhetsintyg, får inte utföra ett arbete som kräver tjänstbarhetsintyg (t.ex. arbete med allergiframkallande kemiska ämnen och arbete med bly).","","https://www.notisum.se/rn/document/?id=AFSC3015"
"Arbetsmiljö","01","ALLMÄNNA REGLER","0150","SFS 2018:2088","SFS 2024:888","Lag (2018:2088)","Lag (2018:2088) om tobak och liknande produkter börjar gälla den 1 juli 2019. Två äldre tobakslagar tas samtidigt bort. Det blir den 1 juli 2019 förbjudet att röka (gäller även e-cigaretter och vattenpipor) på uteserveringar, busskurer, entréer, perronger och lekparker, tillståndsplikt på tobaksförsäljning införs och snusförpackningar måste innehålla minst 20 portioner. Från och med den 1 november 2019 får tobak inte längre säljas utan tillstånd. Företagare måste söka tillstånd hos kommunen för att få sälja tobak. Till lagen finns två förordningar med kompletterande regler: förordning (2019:223) om tobak och liknande produkter och förordning (2019:224) om avgifter för unika identitetsmärkningar på tobaksförpackningar. Några sanktionsmöjligheter mot privatpersoner som bryter mot rökförbudet finns inte men den som äger eller disponerar det rökfria området har rätt att avvisa den som röker. Kommunerna ansvarar tillsammans med polismyndigheten för att kontrollera så att tobakslagens regler följs. Folkhälsomyndigheten har övergripande ansvar.","Tobak och liknande produkterDenna lag rör bl.a. allas rätt till rökfria miljöer och det är arbetsgivarens skyldighet att en arbetstagare inte mot sin vilja utsätts för tobaksrök, eller utsläpp från produkter som motsvarar rökning, i den arbetslokal eller det liknande utrymme där arbetstagaren är verksam.Lagen innehåller även bestämmelser om hälsovarningar och innehållsdeklaration på tobaksförpackningar, handel  med och införsel av tobak, marknadsföring av tobak samt produktkontroll av tobaksvaror.","","https://www.notisum.se/rn/document/?id=20182088"
"Arbetsmiljö","01","ALLMÄNNA REGLER","0160","AFS 2023:2 (ersätter AFS 1999:7)","","BeteckningAFS 2023:2 (ersätter AFS 1999:7)Arbetsmiljöverkets föreskrifter och allmänna råd (AFS 2023","4 kap. Första hjälpen och krisstödBestämmelser om första hjälpen och krisstöd som innebär hjälpåtgärder vid olycksfall och akut sjukdom samt det psykiska och sociala omhändertagande som behöver vidtas i samband med olyckor, akuta krissituationer och liknande allvarliga händelser. Det finns krav på att en arbetsgivare ska ha beredskap samt rutiner för första hjälpen och krisstöd, att de ska säkerställa att arbetstagare känner till hur arbetet är organiserat samt se till att det finns tillräckligt många personer tillgängliga som kan ge första hjälpen på arbetsstället. Arbetsgivaren ska tillse att chefer och arbetsledare har tillräckliga kunskaper om krisstöd för att de ska kunna planera och organisera krisstödet på ett lämpligt sätt.Ikraftträdande 1 januari 2025","Första hjälpen och krisstödVi ska se till att det på varje arbetsställe finns den beredskap och de rutiner för första hjälpen och krisstöd som behövs med hänsyn till verksamhetens art, omfattning och särskilda risker, samt kontinuerligt följa upp att rutinerna fungerar.Det ska säkerställas att arbetstagarna känner till hur första hjälpen och krisstöd är organiserat på arbetsstället samt att det finns tillräckligt många personer tillgängliga som kan ge första hjälpen, med hänsyn till verksamhetens art, omfattning och särskilda risker, samt att dessa kunskaper hålls aktuellaVi ska också se till att chefer och arbetsledare har tillräckliga kunskaper om krisstöd för att de ska kunna planera och organisera krisstödet på ett lämpligt sätt.","","https://www.notisum.se/rn/document/?id=AFSC3002&anchor=K4"
"Arbetsmiljö","02","HR","0200","(EU) nr 679/2016","","Beteckning(EU) nr 679/201632016R0679R(03)Europaparlamentets och rådets förordning (EU) 2016/679 av d","GDPR/EU:s dataskyddsförordning. General Data Protection Regulation. EU-förordningen tillämpas från den 25 maj 2018 på sådan behandling av personuppgifter som helt eller delvis företas på automatisk väg samt på annan behandling än automatisk av personuppgifter som ingår i eller kommer att ingå i ett register.","EU:s dataskyddsförordning (GDPR)Denna förordning berör oss som behandlar personuppgifter och den reglerar hur vi får behandla sådana. Förordningen gäller behandling av personuppgifter som utförs av personuppgiftsansvariga eller personuppgiftsbiträden.Kraven innebär i stora drag att:- vi ska bestämma ändamålet till behandlingen av personuppgifterna samt ha en rättslig grund till densamma- vi ska informera de registrerade hur vi använder deras uppgifter- vi ska ha en förteckning över vilka typer av personuppgifter som finns i företaget och hur vi använder dessa uppgifter- vi ska se till att vi har rätt personuppgifter- vi ska skydda upppgifter om bland annat kunder, leverantörer och anställda så att obehöriga personer inte kan komma åt dem- vi inte får spara personuppgifter längre än nödvändigt- vi ska ha interna riktlijer och rutiner för hantering av personuppgifter","","https://www.notisum.se/rn/document/?id=316R0679"
"Arbetsmiljö","02","HR","0210","SFS 2018:218","SFS 2025:256","Lag (2018:218)","Lagen kompletterar EU:s dataskyddsförordning och reglerar behandling av personuppgifter i Sverige. Den gäller för personuppgiftsansvariga och biträden i Sverige samt för utländska aktörer som behandlar uppgifter om personer i Sverige. Lagen specificerar rättsliga grunder för behandling, inklusive samtycke från barn över 13 år, och hantering av känsliga uppgifter inom arbetsrätt, social trygghet, hälso- och sjukvård. Den fastställer också regler för arkivering och statistik.","Kompletterande bestämmelser till EU:s dataskyddsförordning (GDPR)Denna lag berör oss som behandlar personuppgifter och den reglerar hur vi får behandla sådana. Lagen gäller behandling av personuppgifter som utförs av personuppgiftsansvariga eller personuppgiftsbiträden.Kraven innebär i stora drag att vi ska säkerställa:- dataskyddsombuds tystnadsplikt- att personuppgifter har stöd i lag och är av allmänt intresse- säkerställa samtycke från personer med föräldraansvar vid behandling av uppgifter om barn under 13 år- att behandling av känsliga personuppgifter behandlas med stöd i lagstiftning- att vi inte behandlar personuppgifter som rör lagöverträdelser- att vi endast behandlar person- och samordningsnummer när så är tillåtet och nödvändigt","","https://www.notisum.se/rn/document/?id=20180218"
"Arbetsmiljö","02","HR","0220","SFS 1982:80","SFS 2022:836","Lag (1982:80)","LAS innehåller övergripande regler om anställningsskydd, anställningsavtal, uppsägningstider, turordning, tidsbegränsade anställningar, hur besked om uppsägning ska skötas och vilka typer av uppsägningar som är giltiga. Lagen är tvingande men kan inskränkas genom kollektivavtal.","Lag om anställningsskydd (LAS)Lagen reglerar hur vi får hantera situationer så som anställningar, uppsägningar och provanställningar. Bl.a. gäller följande:- vi ska lämna skriftlig information till arbetstagare om anställningsvillkor- vi får inte säga upp en anställd utan sakliga skäl- vi ska följa turordning vid uppsägningar samt tillämpa företrädesrätt- genom kollektivavtal som har slutits eller godkänts av en central arbetstagarorganisation får undantag göras från denna lag","","https://www.notisum.se/rn/document/?id=19820080"
