Laglista,Section Number,Section Name,Index,SFS Number,Amendment SFS,Document Name,Notisum Comment,Summary (Så här påverkas vi),Compliance,Link
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2009:400","SFS 2025:1381","Offentlighets- och sekretesslag (2009:400)","Denna Offentlighets- och sekretesslag (OSL) började gälla 2009 och ersatte Sekretesslagen (1980:100). Mer detaljerade regler finns i Offentlighets- och sekretessförordning (2009:641). OSL kompletterar tryckfrihetsförordningen när det gäller rätten att ta del av allmänna handlingar.","Vi ska säkerställa att allmänna handlingar hanteras i enlighet med offentlighets- och sekretesslagen. Det innebär att vi ska göra information tillgänglig för allmänheten enligt tryckfrihetsförordningens principer, men samtidigt skydda uppgifter som omfattas av sekretess.Vi behöver ha rutiner för att bedöma vad som är sekretessbelagt och för att hantera utlämnanden på ett korrekt sätt. Vår hantering ska uppfylla lagens krav på insyn, rättssäkerhet och skydd för känsliga uppgifter.","","https://www.notisum.se/rn/document/?id=20090400"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2009:641","SFS 2025:1404","Offentlighets- och sekretessförordning (2009:641)","Kompletterande regler till Offentlighets- och sekretesslagen (2009:400) och Tryckfrihetsförordningen. Ersätter  Sekretessförordningen (1980:657).","Vi ska följa de kompletterande bestämmelser som offentlighets- och sekretessförordningen innehåller i förhållande till offentlighets- och sekretesslagen. Förordningen styr bland annat hur vi ska hantera sekretessbelagda uppgifter i vår dokumenthantering och rapportering.Vi behöver tillämpa relevanta undantag och hänvisningar korrekt vid utlämnande av allmänna handlingar. Vår tillämpning ska säkerställa att vi uppfyller kraven på insyn, rättssäkerhet och skydd för uppgifter i enlighet med gällande förordning.","","https://www.notisum.se/rn/document/?id=20090641"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","(EU) nr 679/2016","","Beteckning(EU) nr 679/201632016R0679R(03)Europaparlamentets och rådets förordning (EU) 2016/679 av d","GDPR/EU:s dataskyddsförordning. General Data Protection Regulation. EU-förordningen tillämpas från den 25 maj 2018 på sådan behandling av personuppgifter som helt eller delvis företas på automatisk väg samt på annan behandling än automatisk av personuppgifter som ingår i eller kommer att ingå i ett register.","Vi behöver säkerställa att vår hantering av personuppgifter sker i enlighet med GDPR:s krav på laglighet, ändamålsbegränsning, dataminimering, korrekthet och säkerhet.Vi ska ha tydliga rutiner för att informera registrerade om deras rättigheter, inklusive rätten till tillgång, rättelse, radering och dataportabilitet. Vidare måste vi ha en rättslig grund för all behandling av personuppgifter och vid behov inhämta samtycke från de registrerade.Om vi hanterar känsliga personuppgifter eller genomför omfattande behandling, kan det krävas en konsekvensbedömning av dataskydd. Vi ska också ha säkerhetsåtgärder på plats för att skydda personuppgifter och rapportera personuppgiftsincidenter till tillsynsmyndigheten inom föreskriven tidsram.","","https://www.notisum.se/rn/document/?id=316R0679"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","ÖMD DI","","BeteckningÖMD DIDatainspektionens vägledning för arbetsgivare: Personuppgifter i arbetslivet Datasky","Dokumentet ger vägledning för arbetsgivare om hantering av personuppgifter i arbetslivet enligt GDPR. Det riktar sig till både privata och offentliga arbetsgivare samt arbetstagare, arbetssökande, fackförbund och branschorganisationer. Personuppgifter används i olika sammanhang, och det är viktigt att balansera arbetsgivares behov med anställdas integritet.","Vi ska hantera personuppgifter om arbetstagare och arbetssökande i enlighet med GDPR och Datainspektionens vägledning. Det innebär att vi behöver ha en rättslig grund för behandlingen, informera tydligt om ändamål och omfattning samt säkerställa att uppgifterna skyddas mot obehörig åtkomst.Vi ska väga våra behov som arbetsgivare mot de anställdas rätt till personlig integritet och endast behandla uppgifter som är nödvändiga.Vår hantering ska vara transparent, ändamålsenlig och följa gällande dataskyddsregler.","","https://www.notisum.se/rn/document/?id=OMDB2001"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2018:218","SFS 2025:256","Lag (2018:218)","Lagen kompletterar EU:s dataskyddsförordning och reglerar behandling av personuppgifter i Sverige. Den gäller för personuppgiftsansvariga och biträden i Sverige samt för utländska aktörer som behandlar uppgifter om personer i Sverige. Lagen specificerar rättsliga grunder för behandling, inklusive samtycke från barn över 13 år, och hantering av känsliga uppgifter inom arbetsrätt, social trygghet, hälso- och sjukvård. Den fastställer också regler för arkivering och statistik.","Vi måste ha en tydlig rättslig grund för vår personuppgiftsbehandling, inklusive särskilda regler för känsliga uppgifter inom exempelvis arbetsrätt och hälsoinformation.Vi behöver säkerställa att barn över 13 år kan samtycka själva där det krävs.Vi ska också beakta särskilda bestämmelser om arkivering och statistik.Vår behandling ska ske på ett rättssäkert och transparent sätt i enlighet med lagen.","","https://www.notisum.se/rn/document/?id=20180218"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2018:219","SFS 2020:1140","Förordning (2018:219)","Förordningen kompletterar EU:s dataskyddsförordning och reglerar behandling av personuppgifter i Sverige. Den fastställer att Integritetsskyddsmyndigheten är tillsynsmyndighet och att Styrelsen för ackreditering och teknisk kontroll ackrediterar certifieringsorgan. Förordningen tillåter behandling av personuppgifter relaterade till lagöverträdelser av andra än myndigheter under vissa förutsättningar. Riksarkivet kan utfärda föreskrifter för behandling av personuppgifter för arkivändamål av allmänt intresse.","Under vissa förutsättningar får vi behandla uppgifter om lagöverträdelser även om vi inte är en myndighet.Vi behöver också beakta Riksarkivets föreskrifter om vi behandlar personuppgifter för arkivändamål av allmänt intresse. Vår hantering ska uppfylla krav på säkerhet, laglighet och ansvarstagande.","","https://www.notisum.se/rn/document/?id=20180219"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","ÖMD DI","","BeteckningÖMD DIDatainspektionens vägledning: Dataskyddsförordningen GDPR på fem minuter (personuppg","Dataskyddsförordningen (GDPR) stärker individers rättigheter och ger dem kontroll över sina personuppgifter. Personuppgifter omfattar all information som kan identifiera en fysisk person. Behandling av personuppgifter inkluderar insamling, lagring och radering, och måste följa GDPR:s regler. En rättslig grund krävs för behandling, såsom avtal eller samtycke, där höga krav ställs på frivillighet och förståelse. Grundläggande principer inkluderar att samla in uppgifter för specifika ändamål, säkerställa riktighet, och skydda uppgifterna mot obehörig åtkomst. GDPR ger rättigheter som information och radering av uppgifter. Vid överföring till tredje land måste särskilda skyddsåtgärder vidtas. Personuppgiftsansvariga, som kan vara organisationer eller individer, ansvarar för att skydda integriteten genom tekniska och organisatoriska åtgärder.","Vi är personuppgiftsansvariga och ska behandla personuppgifter i enlighet med dataskyddsförordningen. Det innebär att vi måste ha en rättslig grund för varje behandling, till exempel avtal eller samtycke, och att samtycket ska vara frivilligt och tydligt.Vi får bara samla in uppgifter för specifika ändamål, ska säkerställa att de är korrekta och skydda dem mot obehörig åtkomst.Vi är även skyldiga att informera registrerade personer om deras rättigheter, exempelvis rätten till tillgång och radering, samt vid behov tillämpa särskilda skyddsåtgärder vid tredjelandsöverföring.","","https://www.notisum.se/rn/document/?id=OMDA3004"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","IMYFS 2024:1","","BeteckningIMYFS 2024:1Integritetsskyddsmyndighetens föreskrifter om behandling av personuppgifter so","Föreskrifterna reglerar under vilka omständigheter andra än myndigheter får behandla personuppgifter relaterade till lagöverträdelser enligt artikel 10 i EU:s dataskyddsförordning. Behandling är tillåten om den är nödvändig för att uppfylla föreskrifter inom socialtjänsten, för anteckningar i elevvårdande verksamhet i fristående skolor eller högskolor, för att kontrollera jäv i juridisk verksamhet, eller om uppgifterna rör personer i nyckelpositioner och är motiverade för att utreda allvarliga oegentligheter inom organisationen.","Vi får behandla personuppgifter som rör lagöverträdelser endast i de fall som anges i Integritetsskyddsmyndighetens föreskrifter. Det innebär att behandlingen måste vara nödvändig för ett specifikt ändamål, såsom att utreda allvarliga oegentligheter inom organisationen eller kontrollera jäv i juridisk verksamhet.Om behandlingen gäller personer i nyckelpositioner krävs att den är motiverad och dokumenterad.Vi ska säkerställa att all hantering sker i enlighet med dataskyddsförordningen och att skyddet för individens integritet upprätthålls.","","https://www.notisum.se/rn/document/?id=DIFC4001"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2018:1174","SFS 2022:508","Lag (2018:1174)","Lagen syftar till att säkerställa en hög nivå av informationssäkerhet för samhällsviktiga och digitala tjänster. Den omfattar leverantörer av samhällsviktiga tjänster inom sektorer som energi, transport, bankverksamhet, och digital infrastruktur, samt leverantörer av digitala tjänster med etablering i Sverige. Lagen kräver att dessa leverantörer vidtar tekniska och organisatoriska åtgärder för att hantera risker och säkerställa kontinuitet i tjänsterna. Incidenter som påverkar tjänsternas kontinuitet ska rapporteras utan dröjsmål.","Vi ska säkerställa en hög nivå av informationssäkerhet i våra samhällsviktiga eller digitala tjänster. Det innebär att vi måste vidta tekniska och organisatoriska åtgärder för att förebygga och hantera risker, samt upprätthålla driftsäkerhet och kontinuitet i våra tjänster.Vi är skyldiga att utan dröjsmål rapportera incidenter som påverkar tillgängligheten eller säkerheten i tjänsterna.Vår hantering ska uppfylla lagens krav på robusthet, incidentberedskap och ansvarstagande.","","https://www.notisum.se/rn/document/?id=20181174"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2018:1175","SFS 2025:1152","Förordning (2018:1175)","Förordningen reglerar informationssäkerhet för samhällsviktiga och digitala tjänster. Den kompletterar lagen om informationssäkerhet och EU:s direktiv för att säkerställa en hög säkerhetsnivå i nätverks- och informationssystem. Förordningen specificerar krav på säkerhetsåtgärder, incidentrapportering och tillsyn. Myndigheten för samhällsskydd och beredskap (MSB) har en central roll som CSIRT-enhet och nationell kontaktpunkt, ansvarig för att leda samarbetsforum och samordna tillsyn. Förordningen betonar vikten av att använda internationella standarder och att samarbeta med andra EU-medlemsstater för att hantera säkerhetsincidenter.","Vi är skyldiga att vidta lämpliga säkerhetsåtgärder, rapportera allvarliga incidenter utan dröjsmål och samverka med tillsynsmyndigheter.Vi ska beakta relevanta internationella standarder och delta i samarbete med andra aktörer när det krävs.MSB är vår kontaktpunkt och samordnande myndighet vid incidenthantering och tillsyn.Vår verksamhet ska bedrivas i linje med förordningens krav på säkerhet och kontinuitet.","","https://www.notisum.se/rn/document/?id=20181175"
