# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1686:0903	1800-01-01	sfs-1686-0903	Kyrkolag (1686:0903)
1723:1016 1	1800-01-01	sfs-1723-1016 1	Ridderskapets och adelns privilegier (1723:1016 1)
1736:0123 1	1800-01-01	sfs-1736-0123 1	Byggningabalk (1736:0123 1)
1736:0123 2	1800-01-01	sfs-1736-0123 2	Handelsbalk (1736:0123 2)
1757:0119	1800-01-01	sfs-1757-0119	Resolution (1757:0119) på städernas allmänna besvär
1772:1104	1800-01-01	sfs-1772-1104	Förordning (1772:1104) angående sabbatens firande samt vissa helgdagars flyttning eller indragning
1810:0403	1810-04-03	sfs-1810-0403	Förordning (1810:0403) huruledes rättelse och förklaring uti gjorde fideikommissförfattningar må sökas, samt vad i avseende på fardag av fideikommissegendom kommer att iakttagas
1810:0926	1810-09-26	sfs-1810-0926	Successionsordning (1810:0926);
1821:1205	1821-12-05	sfs-1821-1205	Kungörelse (1821:1205) angående vad genom konvention mellan Kungl. Maj:t samt Hans Maj:t kejsaren av Ryssland blivit överenskommet angående brottmålens behandling å ömse sidor om riksgränsen
1827:60 s.1007	1827-05-16	sfs-1827-60 s.1007	Kungörelse (1827:60 s.1007) angående åtskilliga föreskrifter för bevakande av kronans rätt i de henne hörande rättegångar vid domstolarna
1828:79 s.1553	1828-04-17	sfs-1828-79 s.1553	Förordning (1828:79 s. 1553) angående upphörande av styrelseverkens domsrätt i vissa mål;
1829:49 s. 279	1829-09-04	sfs-1829-49 s. 279	Resolution (1829:49 s.279) angående stadfästelse å en, av prosten Siwertsons avlidna syster gjord, donation till stipendiefond vid Kungälvs skola
1834:30 s. 3	1834-09-23	sfs-1834-30 s. 3	Kungörelse (1834:30 s.3) angående en viss preskriptionstid för uppvisande i banken av utelöpande invisningar och insättningsbevis, som i bankens räkenskaper balanseras
1840:46	1840-12-21	sfs-1840-46	Brev (1840:46) angående Finska nationella församlingens i Stockholm fortfarande, samt om regleringen av dess angelägenheter
1844:50 s.2	1844-11-28	sfs-1844-50 s.2	Cirkuläret (1844:50 s.2) till överståthållarämbetet samt en del Kungl. Maj:ts befallningshavande i riket angående vissa iakttagelser vid häktande av fransk undersåte uppå franskt fartyg här i riket
1845:50 s.1	1845-11-20	sfs-1845-50 s.1	Lag (1845:50 s.1) om handel med lösören, som köparen låter i säljarens vård kvarbliva
1848:61 s.2	1848-12-08	sfs-1848-61 s.2	Brev (1848:61 s.2) med nådig förklaring att Kungl. kungörelsen den 16 maj 1827, angående bevakande av kronans rätt i de henne rörande rättegångar, även skall tillämpas i alla synemål, då kronan är av- eller tillträdare m.m.
1851:55 s.4	1851-12-20	sfs-1851-55 s.4	/r1/ Kungl. Maj:ts Förordning (1851:55 s.4) angående sättet för uppsägning av förbindelser, för vilka flera är ansvariga;
1855:82 s.1	1855-07-20	sfs-1855-82 s.1	Förordning (1855:82 s.1) angående löftesmans rätt att uppsäga och betala gäld m.m.
1860:49 s. 3	1860-11-16	sfs-1860-49 s. 3	Kungörelse (1860:49 s.3) angående behandlingen av tvistefrågor om upphörande av åbo- och besittningsrätt till Kronohemman och lägenheter
1861:23 s.1	1861-04-19	sfs-1861-23 s.1	Reglemente (1861:23 s. 1) för farten å Strömsholms kanal
1861:29 s. 1	1861-05-07	sfs-1861-29 s. 1	Kungörelse (1861:29 s.1) angående försäljning till skatte av de Danviks hospital tillhöriga, med ständig städje- och besittningsrätt upplåtna hemman och lägenheter
1863:83 s.6	1863-12-30	sfs-1863-83 s.6	Kungörelse (1863:83 s.6) angående ändring i föreskrifterna om kronoombuds förordnande att närvara vid vissa allmänna förrättningar
1864:11 s. 101	1864-02-16	sfs-1864-11 s. 101	Kungl. Maj:ts förordning (1864:11 s.101) om nya strafflagens införande och vad i avseende därå iakttagas skall
1866:37 s.1	1866-06-22	sfs-1866-37 s.1	Riddarhusordning (1866:37 s.1)
1867:9 s.7	1867-03-01	sfs-1867-9 s.7	Kammarkollegiets Kungörelse (1867:9 s.7) angående landgille och städja för vissa kyrkolägenheter i Skåne, Halland och Blekinge
1870:10 s. 1	1870-01-28	sfs-1870-10 s. 1	Kammarkollegiets Kungörelse (1870:10 s.1) angående upprättande av nya jordeböcker
1870:37 s.1	1870-06-17	sfs-1870-37 s.1	Konvention (1870:37 s.1) angående ömsesidigt utlämnande av förbrytare emellan Hans Maj:t Konungen av Sverige (och Norge) och Hans Maj:t Belgiernas Konung
1872:55 s.2	1872-07-19	sfs-1872-55 s.2	Förordning (1872:55 s.2) angående ändring i gällande stadganden rörande gudstjänst vid häradsting
1873:26	1873-05-30	sfs-1873-26	Kongl. Maj:ts nådiga Stadga (1873:26) om avvittring i Västerbottens och Norrbottens läns lappmarker
1874:26 s.11	1874-05-08	sfs-1874-26 s.11	Förordning (1874:26 s. 11) angående hamnordningar och andra ordningsföreskrifter för allmänna hamnarna i riket
1878:bih. 56 s. 1	1878-07-12	sfs-1878-bih. 56 s. 1	Skrivelsen (1878:bih. 56 s.1) angående de å kronoparkerna i Arvidsjaurs socken belägna hemman och nybyggen tillhöriga ängar m.m.
1880:48 s. 1	1880-11-19	sfs-1880-48 s. 1	Kungörelse (1880:48 s.1) om särskilda föreskrifter angående inrättande och förande av fastighetsbok i fråga om vissa järnvägar
1883:bih. 39 s. 1	1883-06-22	sfs-1883-bih. 39 s. 1	Skrivelsen (1883:bih. 39 s.1) angående de å kronoparkerna i Gällivare socken belägna, hemman och nybyggen tillhöriga ängar m.m.
1884:13 s.2	1884-04-18	sfs-1884-13 s.2	Förordning (1884:13 s.2) om prästexamen
1885:56 s.1	1885-09-11	sfs-1885-56 s.1	Kungörelse (1885:56 s.1) med vissa föreskrifter till beredande av skydd för undervattenstelegrafkablar
1891:35 s.1	1891-01-12	sfs-1891-35 s.1	Sjölag (1891:35 s.1)
1895:bih. 10 s. 1	1895-02-19	sfs-1895-bih. 10 s. 1	Kungl. Maj:ts Resolution (1895:bih.10s.1) på en av apostoliske vikarien, Biskopen m.m. Albertus Bitter gjord underdånig ansökning, det Kungl. Maj:t täcktes förklara romersk katolska kyrkans prästerskap äga rättighet att med laga verkan förrätta vigsel;
1895:bih. 52 s. 1	1895-06-20	sfs-1895-bih. 52 s. 1	Kungl. Maj:ts Resolution (1895:bih.52s.1) på en av föreståndaren för franska reformerta församlingen i Stockholm Emil Giron gjord underdånig ansökning, det Kungl. Maj:t täckes förklara församlingens prästerskap äga rättighet att med laga verkan förrätta vigsel;
